SKU,Dead weight (g),Volumetric weight (g)
NTN488,468,0
NTN489,466,0
NTN490,479,0
NTN491,475,0
NTN492,1539,856
NTN493,1581,856
NTN494,1538,856
NTN495,335,424
NTN496,1580,856
NTN497,1560,856
NTN498,1589,856
NTN499,1546,856
NTN500,1585,856
NTN501,1546,856
NTN502,1564,856
NTN503,1559,856
NTN504,1049,856
NTN505,1061,856
NTN506,637,856
NTN507,725,856
NTN508,824,856
NTN509,854,856
NTN510,820,856
NTN511,620,856
NTN512,841,856
NTN513,918,856
NTN514,836,856
NTN515,912,856
NTN516,204,428
NTN517,312,258
NTN518,611,428
NTN519,624,1378
NTN520,245,426
NTN521,321,424
NTN522,398,404
NTN523,453,428
NTN524,373,420
NTN525,372,437
NTN526,239,418
NTN527,356,277
NTN528,616,1406
NTN529,287,430
NTN530,312,437
NTN531,44,0
NTN532,310,433
NTN533,661,856
NTN534,610,822
NTN535,45,0
NTN536,469,410
NTN537,708,424
NTN538,472,431
NTN539,480,431
NTN540,489,431
NTN541,479,431
NTN542,131,274
NTN543,145,261
NTN544,302,281
NTN545,302,435
NTN547,170,284
NTN548,390,1082
NTN549,448,1145
NTN550,610,1077
NTN551,512,432
NTN552,218,418
NTN553,692,435
NTN554,340,435
NTN555,411,435
NTN556,254,452
NTN557,125,272
NTN558,2924,1164
NTN559,2720,1087
NTN560,524,268
NTN561,177,271
NTN568,1154,2585
NTN569,1229,2566
NTN570,1235,2563
NTN571,1178,2611
NTN572,1205,2563
NTN573,1282,2540
NTN574,166,273
NTN575,153,270
NTN576,414,1060
NTN577,295,418
NTN578,607,420
NTN579,162,300
NTN580,280,292
NTN582,99,0
NTN583,49,0
NTN584,99,0
NTN585,556,860
NTN586,482,843
NTN587,602,857
NTN588,98,0
NTN589,228,281
NTN590,88,278
NTN591,333,284
NTN592,315,285
NTN593,212,274
NTN594,129,441
NTN595,131,420
NTN596,211,428
NTN597,340,1090
NTN598,659,1112
NTN599,437,276
NTN600,125,281
NTN601,748,400
NTN602,198,289
NTN603,353,259
NTN604,316,437
NTN605,370,431
NTN606,230,431
NTN607,194,268
NTN608,312,289
NTN609,332,279
NTN610,723,1065
NTN611,117,276
NTN612,156,276
NTN613,508,437
NTN614,545,1061
NTN615,286,437
NTN616,228,424
NTN617,199,260
NTN618,283,292
NTN619,289,273
NTN620,265,273
NTN621,85,276
NTN622,85,276
NTN623,85,276
NTN624,87,276
NTN625,165,273
NTN626,183,273
NTN628,833,1070
NTN629,161,418
NTN630,211,420
NTN631,18,0
NTN632,135,264
NTN633,224,412
NTN634,154,265
NTN635,244,1041
NTN636,132,264
NTN637,140,269
NTN638,224,448
NTN639,300,1004
NTN640,290,1022
NTN641,556,1022
NTN642,93,0
NTN643,153,269
NTN644,354,1148
NTN645,78,276
NTN646,76,276
NTN647,76,276
NTN648,77,276
NTN649,443,1022
NTN650,105,420
NTN651,151,276
NTN652,219,448
NTN654,85,0
NTN655,174,276
NTN656,93,0
NTN657,35,0
NTN658,332,420
NTN659,87,273
NTN660,87,273
NTN661,85,273
NTN662,75,273
NTN663,77,276
NTN664,17,0
NTN665,17,0
NTN666,16,0
NTN667,17,0
NTN668,18,0
NTN669,17,0
NTN670,17,0
NTN671,19,0
NTN672,110,276
NTN673,410,404
NTN674,280,426
NTN676,142,272
NTN677,253,420
NTN678,208,281
NTN679,722,281
NTN680,219,420
NTN681,443,1145
NTN682,401,431
NTN683,18,0
NTN684,18,0
NTN685,18,0
NTN688,234,273
NTN689,545,420
NTN690,211,273
NTN691,325,273
NTN692,596,420
NTN693,299,273
NTN694,1124,1145
NTN695,132,266
NTN696,104,260
NTN697,127,273
NTN698,135,416
NTN699,63,276
NTN700,130,273
NTN701,582,1145
NTN702,431,1145
NTN703,391,1145
NTN704,433,1145
NTN705,416,1145
NTN706,965,420
NTN707,912,433
NTN708,180,270
NTN710,277,276
NTN711,328,276
NTN712,223,276
NTN713,263,276
NTN714,1357,1145
NTN715,306,268
NTN716,133,263
NTN717,217,263
NTN718,87,276
NTN756,23,0
NTN757,25,0
NTN759,270,420
NTN760,196,420
NTN761,325,420
NTN762,223,276
NTN763,221,276
NTN764,241,424
NTN765,20,0
NTN766,18,0
NTN767,12,0
NTN768,25,0
NTN769,10,0
NTN770,18,0
NTN771,22,0
NTN772,13,0
NTN773,20,0
NTN774,13,0
NTN775,10,0
NTN776,12,0
NTN777,19,0
NTN778,31,0
NTN779,16,0
NTN780,20,0
NTN781,14,0
NTN782,25,0
NTN783,27,0
NTN784,26,0
NTN785,48,0
NTN786,29,0
NTN787,26,0
NTN788,33,0
NTN790,26,0
NTN791,113,266
NTN792,113,266
NTN793,114,266
NTN794,116,266
NTN795,119,420
NTN796,118,420
NTN797,381,856
NTN798,414,843
NTN799,680,1638
NTN800,822,1643
NTN801,757,1638
NTN802,693,1632
NTN803,809,1676
NTN804,873,1638
NTN806,804,1638
NTN807,807,1638
NTN808,1067,1671
NTN809,790,1673
NTN810,850,1642
NTN811,452,794
NTN812,427,819
NTN813,18,0
NTN814,112,270
NTN815,36,0
NTN816,454,840
NTN817,509,836
NTN818,35,0
NTN819,745,1672
NTN820,605,771
NTN821,418,828
NTN822,528,929
NTN823,569,805
NTN824,657,820
NTN825,651,799
NTN826,534,833
NTN827,394,1414
NTN828,533,816
NTN829,158,270
NTN830,153,270
NTN831,449,780
NTN832,845,1630
NTN833,585,839
NTN834,506,774
NTN835,398,723
NTN836,630,780
NTN837,391,760
NTN838,546,762
NTN839,387,757
NTN840,600,760
NTN841,450,857
NTN842,515,833
NTN843,399,400
NTN844,422,760
NTN845,382,741
NTN846,579,780
NTN847,878,1597
NTN848,606,799
NTN849,650,799
NTN850,232,267
NTN851,577,799
NTN852,540,860
NTN853,540,792
NTN854,660,780
NTN855,429,826
NTN856,830,1665
NTN857,381,796
NTN858,19,0
NTN859,21,0
NTN860,19,0
NTN861,584,826
NTN862,602,799
NTN864,93,257
NTN865,91,265
NTN866,91,260
NTN867,92,268
NTN868,206,258
NTN869,154,270
NTN870,129,264
NTN871,127,264
NTN872,502,826
NTN873,372,264
NTN874,689,780
NTN875,356,264
NTN876,363,264
NTN877,560,263
NTN879,90,265
NTN880,97,259
NTN881,91,260
NTN882,92,260
NTN883,94,259
NTN884,91,260
NTN885,93,256
NTN886,94,259
NTN887,95,265
NTN888,92,262
NTN889,91,260
NTN890,94,260
NTN891,264,268
NTN892,478,817
NTN893,482,799
NTN894,318,420
NTN895,330,424
NTN896,713,416
NTN897,643,428
NTN898,384,267
NTN899,459,420
NTN900,210,256
NTN901,207,257
NTN902,208,260
NTN903,127,264
NTN904,264,260
NTN905,374,402
NTN906,699,1102
NTN907,492,420
NTN908,208,264
NTN909,215,262
NTN910,221,262
NTN911,565,799
NTN912,532,799
NTN913,637,1638
NTN914,490,836
NTN915,490,789
NTN916,212,265
NTN917,212,265
NTN918,288,424
NTN919,450,416
NTN920,540,789
NTN921,327,424
NTN922,231,420
NTN923,508,270
NTN924,800,1597
NTN925,488,808
NTN926,499,808
NTN927,492,774
NTN928,424,864
NTN929,730,1597
NTN930,545,780
NTN931,759,1672
NTN932,761,1654
NTN933,736,1703
NTN934,107,270
NTN935,121,445
NTN936,642,260
NTN937,637,270
NTN938,530,260
NTN939,570,799
NTN940,575,799
NTN941,146,270
NTN942,1140,799
NTN943,605,260
NTN944,597,270
NTN945,596,262
NTN946,290,260
NTN947,113,270
NTN948,34,0
NTN949,29,0
NTN950,37,0
NTN951,29,0
NTN952,685,810
NTN953,675,771
NTN954,451,408
NTN955,464,408
NTN956,230,270
NTN957,644,270
NTN958,726,270
NTN959,692,270
NTN960,604,270
NTN961,505,753
NTN963,121,257
NTN964,232,426
NTN965,529,782
NTN966,78,263
NTN967,91,276
NTN968,12,0
NTN969,17,0
NTN970,17,0
NTN971,13,0
NTN972,10,0
NTN973,190,424
NTN975,194,400
NTN976,204,255
NTN977,1831,2935
NTN978,517,753
NTN979,506,753
NTN980,509,799
NTN981,533,799
NTN982,22,0
NTN983,29,0
NTN984,27,0
NTN985,604,826
NTN986,27,0
NTN987,527,782
NTN988,701,1713
NTN989,460,753
NTN990,552,820
NTN991,525,823
NTN992,31,0
NTN994,48,0
NTN995,55,0
NTN996,151,257
NTN997,144,416
NTN998,192,268
NTN999,312,420
NTN1000,816,1543
NTN1001,569,826
NTN1002,139,268
NTN1003,195,432
NTN1004,417,1004
NTN1005,445,1000
NTN1006,202,260
NTN1007,248,265
NTN1009,304,428
NTN1010,531,433
NTN1011,73,266
NTN1012,71,270
NTN1013,629,432
NTN1014,362,441
NTN1015,249,273
NTN1016,351,275
NTN1017,661,428
NTN1018,127,267
NTN1019,101,262
NTN1020,200,420
NTN1021,101,267
NTN1022,641,816
NTN1023,645,816
NTN1024,785,1742
NTN1025,188,428
NTN1026,142,272
NTN1027,2020,1742
NTN1028,127,278
NTN1029,657,270
NTN1030,2666,1145
NTN1031,2551,1145
NTN1038,770,1742
NTN1039,397,1056
NTN1040,268,428
NTN1041,266,428
NTN1042,267,428
NTN1043,266,428
NTN1044,642,1078
NTN1046,105,268
NTN1047,131,271
NTN1050,258,279
NTN1051,248,408
NTN1052,22,0
NTN1053,21,0
NTN1054,18,0
NTN1055,25,0
NTN1056,26,0
NTN1057,30,0
NTN1058,20,0
NTN1059,48,0
NTN1060,133,270
NTN1061,94,261
NTN1062,261,261
NTN1063,262,261
NTN1064,260,261
NTN1065,300,261
NTN1066,668,1145
NTN1067,126,263
NTN1068,122,263
NTN1069,123,268
NTN1070,119,261
NTN1071,261,261
NTN1072,300,261
NTN1073,287,261
NTN1074,299,261
NTN1075,125,263
NTN1076,125,263
NTN1077,125,263
NTN1078,785,1559
NTN1079,787,1559
NTN1081,130,267
NTN1082,126,267
NTN1083,129,267
NTN1084,231,270
NTN1085,117,263
NTN1086,270,270
NTN1087,367,1077
NTN1088,719,1559
NTN1089,785,1559
NTN1090,779,1559
NTN1091,367,1077
NTN1092,365,1077
NTN1093,120,263
NTN1094,123,271
NTN1095,795,1587
NTN1096,825,1593
NTN1097,132,267
NTN1098,126,267
NTN1099,129,267
NTN1100,119,266
NTN1101,119,268
NTN1102,111,267
NTN1103,113,267
NTN1104,112,267
NTN1105,165,267
NTN1107,93,264
NTN1108,159,259
NTN1111,115,267
NTN1112,638,1719
NTN1113,181,420
NTN1114,113,267
NTN1135,201,420
NTN1136,90,260
NTN1137,176,252
NTN1138,166,252
NTN1139,172,262
NTN1148,144,267
NTN1149,146,267
NTN1150,127,267
NTN1151,129,267
NTN1152,138,267
NTN1153,0,267
NTN1154,130,267
NTN1157,587,1079
NTN1158,626,1079
NTN1159,636,1079
NTN1161,273,1079
NTN1162,214,416
NTN1185,113,274
NTN1186,110,277
NTN1187,103,277
NTN1188,109,277
NTN1189,108,277
NTN1190,148,264
NTN1191,109,266
NTN1195,159,268
NTN1196,154,269
NTN1212,154,269
NTN1214,337,828
NTN1215,281,828
NTN1216,177,424
NTN1217,176,424
NTN1218,72,266
NTN1219,86,266
NTN1220,81,266
NTN1221,84,266
NTN1222,87,266
NTN1223,94,266
NTN1224,84,264
NTN1225,87,264
NTN1226,90,264
NTN1227,180,424
NTN1228,221,424
NTN1230,160,266
NTN1242,451,1113
NTN1243,435,1113
NTN1244,150,254
NTN1275,222,264
NTN1276,223,264
NTN1277,224,264
NTN1278,223,264
NTN1279,222,264
NTN1290,62,263
NTN1291,74,263
NTN1293,72,263
NTN1297,66,263
NTN1298,66,263
NTN1311,67,263
NTN1313,65,263
NTN1314,65,263
NTN1315,72,263
NTN1317,66,263
NTN1330,68,263
NTN1343,65,263
